2016-10-23 00:03:09.3081 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:10.5101 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:11.6352 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:12.8143 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:14.2163 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:15.7444 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:17.0045 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:18.3976 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:19.7427 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:20.9317 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:21.1417 | INFO | _61850_Client_v1._0a.atopLog | TRANSFIXGeneral/TFXStGGIO11.Beh.ST.stVal Value: 1 , Backend Type : HReg Addr : 111 Value : 0 

2016-10-23 00:03:22.0838 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:23.3019 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:24.7049 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:26.0140 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:27.2891 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:28.7102 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:30.2383 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:31.4113 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:32.5634 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:33.8125 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:34.9955 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:36.2306 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:37.5127 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:37.8227 | INFO | _61850_Client_v1._0a.atopLog | TRANSFIXGeneral/DevSchGGIO12.Beh.ST.stVal Value: 1 , Backend Type : HReg Addr : 117 Value : 0 

2016-10-23 00:03:39.0008 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

